223515.30477491932,0.0005,[5, 5],1800
223515.30477491932,0.0005,[5, 5],1900
223515.30477491932,0.0005,[4, 2, 3, 1],5500
69069.12142580315,0.0005,[5, 5],2000
70144.20431756852,0.0005,[5, 5],2100
68779.840063672,0.0005,[4, 2, 3, 1],5600
69397.69722048935,0.0005,[5, 5],2200
223515.30477491932,0.0005,[4, 2, 3, 1],5700
223515.30477491932,0.0005,[5, 5],2300
69035.69302267816,0.0005,[5, 5],2400
223515.30477491932,0.0005,[5, 5],2500
68777.34950345018,0.0005,[4, 2, 3, 1],5800
69776.82379840765,0.0005,[5, 5],2600
69295.75612506707,0.0005,[5, 5],2700
223515.30477491932,0.0005,[4, 2, 3, 1],5900
69246.57443357365,0.0005,[5, 5],2800
69227.83010089616,0.0005,[5, 5],2900
69596.08781593242,0.0005,[5, 5],3000
223515.30477491932,0.0005,[5, 5],3100
69064.68538850387,0.0005,[5, 5],3200
68849.80116061924,0.0005,[5, 5],3300
223515.30477491932,0.0005,[5, 5],3400
223515.30477491932,0.0005,[5, 5],3500
69158.0836701462,0.0005,[5, 5],3600
223515.30477491932,0.0005,[5, 5],3700
68776.88121335003,0.0005,[5, 5],3800
68780.22269852021,0.0005,[5, 5],3900
68777.29316914914,0.0005,[5, 5],4000
68776.30977507625,0.0005,[5, 5],4100
68776.72642417322,0.0005,[5, 5],4200
223515.30477491932,0.0005,[5, 5],4300
68826.6853811702,0.0005,[5, 5],4400
223515.30477491932,0.0005,[5, 5],4500
68798.720387888,0.0005,[5, 5],4600
68797.44203654281,0.0005,[5, 5],4700
68813.4271340132,0.0005,[5, 5],4800
223515.30477491932,0.0005,[5, 5],4900
68779.18162353076,0.0005,[5, 5],5000
69852.58417012446,0.0005,[5, 5, 5],1000
68784.22857710838,0.0005,[5, 5],5100
68778.48187004859,0.0005,[5, 5],5200
223515.30477491932,0.0005,[5, 5, 5],1100
223515.30477491932,0.0005,[5, 5, 5],1200
68786.63305726911,0.0005,[5, 5],5300
68785.14514230854,0.0005,[5, 5],5400
223515.30477491932,0.0005,[5, 5, 5],1300
223515.30477491932,0.0005,[5, 5, 5],1400
223515.30477491932,0.0005,[5, 5],5500
223515.30477491932,0.0005,[5, 5, 5],1500
70324.56660465641,0.0005,[5, 5, 5],1600
68788.88033770266,0.0005,[5, 5],5600
71399.94529135192,0.0005,[5, 5, 5],1700
68776.19957896159,0.0005,[5, 5],5700
223515.30477491932,0.0005,[5, 5, 5],1800
223515.30477491932,0.0005,[5, 5, 5],1900
223515.30477491932,0.0005,[5, 5],5800
223515.30477491932,0.0005,[5, 5, 5],2000
69002.47953679612,0.0005,[5, 5, 5],2100
68776.5123369757,0.0005,[5, 5],5900
68941.80499562187,0.0005,[5, 5, 5],2200
223515.30477491932,0.0005,[5, 5, 5],2300
223515.30477491932,0.0005,[5, 5, 5],2400
68878.96296473696,0.0005,[5, 5, 5],2500
68855.48776113952,0.0005,[5, 5, 5],2600
223515.30477491932,0.0005,[5, 5, 5],2700
68782.8948572408,0.0005,[5, 5, 5],2800
223515.30477491932,0.0005,[5, 5, 5],2900
223515.30477491932,0.0005,[5, 5, 5],3000
223515.30477491932,0.0005,[5, 5, 5],3100
68798.31331804163,0.0005,[5, 5, 5],3200
223515.30477491932,0.0005,[5, 5, 5],3300
223515.30477491932,0.0005,[5, 5, 5],3400
68878.78458641084,0.0005,[5, 5, 5],3500
68781.31395034309,0.0005,[5, 5, 5],3600
68823.4570257563,0.0005,[5, 5, 5],3700
223515.30477491932,0.0005,[5, 5, 5],3800
68836.61808340573,0.0005,[5, 5, 5],3900
68776.23611547973,0.0005,[5, 5, 5],4000
68776.6112274436,0.0005,[5, 5, 5],4100
68804.45190574654,0.0005,[5, 5, 5],4300
223515.30477491932,0.0005,[5, 5, 5],4200
223515.30477491932,0.0005,[5, 5, 5],4400
223515.30477491932,0.0005,[5, 5, 5],4500
68776.23709435867,0.0005,[5, 5, 5],4600
223515.30477491932,0.0005,[5, 5, 5],4700
223515.30477491932,0.0005,[5, 5, 5],4800
68776.2494991247,0.0005,[5, 5, 5],4900
68776.20016064675,0.0005,[5, 5, 5],5000
77934.69085314126,0.0005,[7, 2],1000
75902.13536078931,0.0005,[7, 2],1100
68776.19966395806,0.0005,[5, 5, 5],5100
70963.90148521421,0.0005,[7, 2],1200
223515.30477491932,0.0005,[7, 2],1300
223515.30477491932,0.0005,[5, 5, 5],5300
68776.19959929473,0.0005,[5, 5, 5],5200
69245.0401722528,0.0005,[7, 2],1400
68776.19802604578,0.0005,[5, 5, 5],5400
71747.21837347337,0.0005,[7, 2],1500
72180.5121433,0.0005,[7, 2],1600
223515.30477491932,0.0005,[5, 5, 5],5500
223515.30477491932,0.0005,[7, 2],1700
68776.1995242978,0.0005,[5, 5, 5],5600
223515.30477491932,0.0005,[7, 2],1800
70061.78302090775,0.0005,[7, 2],1900
223515.30477491932,0.0005,[7, 2],2000
223515.30477491932,0.0005,[7, 2],2100
223515.30477491932,0.0005,[5, 5, 5],5700
68776.36953673638,0.0005,[5, 5, 5],5800
223515.30477491932,0.0005,[7, 2],2200
69921.47761607275,0.0005,[7, 2],2300
223515.30477491932,0.0005,[7, 2],2400
223515.30477491932,0.0005,[5, 5, 5],5900
68846.52000379685,0.0005,[7, 2],2500
69305.10929087545,0.0005,[7, 2],2600
68848.21488666316,0.0005,[7, 2],2700
223515.30477491932,0.0005,[7, 2],2800
68881.04883603746,0.0005,[7, 2],2900
70127.11588778254,0.0005,[7, 2],3000
68781.4588516567,0.0005,[7, 2],3100
69448.85118995779,0.0005,[7, 2],3200
223515.30477491932,0.0005,[7, 2],3300
69076.65012626408,0.0005,[7, 2],3400
69156.3605096729,0.0005,[7, 2],3500
68778.00772807638,0.0005,[7, 2],3600
223515.30477491932,0.0005,[7, 2],3800
68823.4555627978,0.0005,[7, 2],3700
68792.07066584619,0.0005,[7, 2],3900
68786.91418134772,0.0005,[7, 2],4000
223515.30477491932,0.0005,[7, 2],4100
68776.49850367967,0.0005,[7, 2],4200
223515.30477491932,0.0005,[7, 2],4300
223515.30477491932,0.0005,[7, 2],4400
223515.30477491932,0.0005,[7, 2],4500
223515.30477491932,0.0005,[7, 2],4600
68780.72400136772,0.0005,[7, 2],4700
68776.30452521141,0.0005,[7, 2],4800
68789.4721831941,0.0005,[7, 2],4900
72381.97641263368,0.0006000000000000001,[13],1000
68986.07211674785,0.0005,[7, 2],5000
69991.04242128272,0.0006000000000000001,[13],1100
223515.30477491932,0.0005,[7, 2],5100
70147.04124334882,0.0006000000000000001,[13],1200
72053.86969884587,0.0006000000000000001,[13],1300
71786.41235484535,0.0006000000000000001,[13],1400
223515.30477491932,0.0005,[7, 2],5200
70687.17789515806,0.0006000000000000001,[13],1500
69392.51000751824,0.0006000000000000001,[13],1600
